PROVINCIA;CANTON;PARROQUIA;INCENDIOS;OSOS;ALIMENTACION;Latitud;Longitud;Latitud-2;Longitud-2;TIPO VEGETACION;BIOCLIMA;TIPO_ECOSI;FRAGILIDAD;AREA PROTEGIDA;DEFICIT HIDRICO;YEAR;MONTH;DAY
NAPO;QUIJOS;PAPALLACTA;NO;SI;Racinaea;-0.346344;-78.149224;-0.345021;-78.152762;TIERRA AGROPECUARIA;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;PARQUE NACIONAL;000 - 000;2021;2;27
PICHINCHA;QUITO;NANEGALITO;NO;SI;Guzmania;0.067263;-78.725718;0.070942;-78.727948;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2023;10;27
NAPO;QUIJOS;PAPALLACTA;NO;SI;Racinaea;-0.37096;-78.092331;-0.378412;-78.092185;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2012;12;31
TUNGURAHUA;BAÑOS DE AGUA SANTA;RIO NEGRO;NO;SI;Guzmania;-1.211674;-78.12924;-1.264861;-78.158727;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;BAJA;PARQUE NACIONAL;000 - 000;2020;3;19
PICHINCHA;QUITO;PINTAG;NO;SI;Puya;-0.448138;-78.332337;-0.440126;-78.323844;OTRAS TIERRAS;PLUVIAL;ECOSISTEMA TERRESTRE;MUY ALTA;NO DEFINIDA;000 - 000;2021;7;4
PICHINCHA;QUITO;NANEGAL;NO;SI;Guzmania;0.116248;-78.600134;0.11228;-78.602313;TIERRA AGROPECUARIA;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;2012;12;10
PICHINCHA;QUITO;NANEGALITO;NO;SI;Guzmania;0.120953;-78.724692;0.122838;-78.727219;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2017;9;26
PICHINCHA;QUITO;NANEGALITO;NO;SI;Guzmania;0.120953;-78.724692;0.10375;-78.722376;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2017;11;28
PICHINCHA;QUITO;NANEGALITO;NO;SI;Guzmania;0.120953;-78.724692;0.106072;-78.721904;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2015;8;31
PICHINCHA;QUITO;NANEGAL;NO;SI;Wallisia;0.095081;-78.616742;0.091183;-78.620961;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;2015;9;27
PICHINCHA;QUITO;NANEGAL;NO;SI;Wallisia;0.17825;-78.685164;0.181488;-78.681025;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;2018;7;30
PICHINCHA;QUITO;NANEGAL;NO;SI;Wallisia;0.17825;-78.685164;0.180923;-78.689835;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;70 - 80;2008;3;14
PICHINCHA;SAN MIGUEL DE LOS BANCOS;MINDO;NO;SI;Wallisia;-0.063334;-78.687485;-0.066121;-78.681294;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;000 - 000;2013;12;31
PICHINCHA;QUITO;NONO;NO;SI;Cipuropsis;0.015505;-78.654102;0.017879;-78.65694;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;ALTA;NO DEFINIDA;000 - 000;2010;1;13
PICHINCHA;QUITO;NANEGALITO;NO;SI;Tillandsia;0.0579;-78.699219;0.061758;-78.705749;TIERRA AGROPECUARIA;PLUVIAL;; ;NO DEFINIDA;000 - 000;2019;9;24
IMBABURA;PIMAMPIRO;MARIANO ACOSTA;NO;SI;Racinaea;0.262299;-77.994151;0.228079;-78.006407;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY BAJA;NO DEFINIDA;000 - 000;2019;1;23
